Title,Body,Rating,Date,Name
no good reason to trust,"blocked my account, never gave a reason and could never get access to cutomer support, so glad i was pushed to much better alternatives",1,2023-09-16T08:21:59.000Z,jade
Forces to crappy conversion rates,"Got some USD and wanted to send as USD to my Revolut or Wise but didn't let me add bank accounts but Hungarian banks and with only HUF. XE conversion rate was 361 HUF, PayPal had 342 HUF. Are you kidding me?? It's like a robbery. PayPal is a scam.",1,2023-09-06T18:18:33.000Z,Roni h
PayPal's service has gotten atrocious…,"PayPal's service has gotten atrocious as of late. They refuse to refund me money that never should have been debited from my account, PLUS my account is messed up and I can't get in touch with them. I have several cases open with the BBB, so hopefully they can do something about it. I wish there was a different payment system as accepted as PayPal because I'd jump ship immediately. PayPal is absolutely horrendous now.",1,2023-08-28T14:25:23.000Z,Arthur
"Terrible company,went through 5…","Terrible company,went through 5 customer service representatives and not a single one was able to fix anything in my account. What a waste of a month. Can't believe they can treat customers like this.",1,2023-09-01T17:30:09.000Z,Chris Walmsley
They did not protect me,"I used to think PayPal is great but after I lost £70 on a poor quality item that was significantly not as described and being denied option to appeal the decision I am not surprised to see they have such a low TrustPilot score. They told me “if an item is materially similar to the seller's description, we don't consider it to be significantly not as described.”Yes, normally everyone can appeal the dispute and yet I don’t even get an option for that - despite searching the internet and following step by step instructions.And that was after seller has acted fraudulently where they took down the website and would not not reply to my email, but once PayPal contacted them about the dispute they put the website back up, changed the pictures of the item and pretended that there was nothing wrong with it.PayPal did not care to verify that website was taken down when I informed them of this. Also, they gave seller nearly two weeks to reply however would only give me 3 days to provide evidence. Entire process didn’t seem fair.I always thought I can shop with peace of mind as long as I pay with PayPal but clearly not. Lesson learned, I will be shopping online less.",1,2023-09-08T08:47:06.000Z,Morri Flores
Dear PayPal,"Dear PayPal, stick your inactivity charge where the sun doesn't shine.",1,2023-09-16T22:39:49.000Z,Mark
WORST SITE EVER CLOSING DOWN A BUSINESS…,WORST SITE EVER CLOSING DOWN A BUSINESS IN ONE SILLY EMAIL.. OVER 150K USD IN ACCOUNT ALL ON HOLD FOR 180 DAYS... PAYPAL YOUR USELESS AND A LEGAL CASE OPENED UP AGAINST YOU...,1,2023-09-09T14:57:02.000Z,Forex Signals
PAYPAL is a company you don’t want to trust or trust your money with …,"PAYPAL is a company without character nor integrity and they will do the worst! They will always side with big companies and allow them to steal from you as their client and  when you put them in check they try to remove you from their services without a legit explanation and would even lie to your face! When I confronted an employee at PayPal Netherlands, bc not only did she had a pisspot attitude she was incapable of doing her job! Days after that they literally sent me an email saying that they will no longer serve me, but too much of cowards to say why! I was kind of confused but when I responded back to their email and required an explanation, they made up a bold face lie saying that fraudulent activity was detected, but never told me who where or why!  Fraudulent activity, which I never in my life been part of!!  After numerous times asking what this ish was all about they kept refusing to elaborate on the lie. Never cared to explain.I still do not know what I did that was fraudulent! Dirty LIES! They are so arrogant and act so entitled at PayPal.NL and feel like no1 can correct them! A SOULLES COMPANY WITH NOMORALS! 🤮",1,2023-09-06T15:11:40.000Z,CaribbeanCutie
PayPal are a bunch of thieves!,They Changed my Empty Bank account 15 times Costing me 45 Dollar overdraft fees for every time they done it putting me in the negative by 700$ for 60$ worth of purchases. Don't use PayPal they're a complete rip off!! stay far far away! don't trust these fools with your money,1,2023-09-01T13:42:51.000Z,Aaron Drake
Not safe method of payment.,"Not safe method of payment. Avoid. Just lost 540 GBP. Returned faulty item to seller. Seller stopped responding and not refunded for. Contacted paypal and paypal refused to pay back. Now lost the phone and 540 GBP. Do not use, you have been warned.",1,2023-09-05T20:02:02.000Z,Piotr
Paypal did not honor their guarantee…,"Paypal did not honor their guarantee for product protection against scams, the product received was badly damaged and they turned a blind eye and deny claims",1,2023-09-07T05:24:52.000Z,Berserk
PayPal will not protect you,"PayPal will not protect you! I received an email from PayPal about a transaction I never authorized. I Immediately checked my account and there was no trace of the transaction. So I checked my bank account and sure enough the money was gone. I called my bank and had my card cancelled and a new one issued. I called the customer service at PayPal and talk with someone who informed me that according to the transaction number in the email they sent me, someone had my credit card information and used my PayPal account as a guest so it doesn’t show up as a transaction on my account at all to send money to another account. I started a dispute against the transaction and PayPal completely dismissed it as an authorized transaction. I tried 4 times to dispute it to no avail. I have removed my credit card information from my PayPal account. I will never trust PayPal to keep my account safe again!",1,2023-09-06T17:32:22.000Z,Tammy Miller
Paypal discriminated against our Non-profit and shut us down!,"I have a non-profit and it has been operating on the up and up for over 15 years.  Nothing strange nor unusual, we are non-political etc. Well, Paypal randomly closed are account and held our funding.  We called and called but only got roundabout answers as if we were speaking into the void. Eventually an agent stated that it was in error and eventually account got reinstated.  But not long after account was banned permanently. A manager of the trust and safety department told me verbatim that even though we're a non-profit, they don't like what we do and as such the account will not be reopened. Funds will be dispersed in 3-6 months.  Case closed. What do we do?  Teach children and adults STEM and take them on field trips learning all about the world around them from a STEM lens. Avoid Paypal like the plague otherwise you may put yourself, your employees and your business through unnecessary hardship.",1,2023-08-30T05:30:18.000Z,David Perkins
If I could give -10 stars I would,"If I could give -10 stars I would. Paypal is the pits.... Fees getting stupid and there's always glictches, issues and problems. Take today when kept customer waiting three weeks as it showed his payment as 'pending'. Asked him to chase it up and next thing Paypal took the money and put the original on hold! All the while still showing as 'pending'! Finally after pulling my hair out with an awful automated system get through to a nice girl who say's yeah sorry, I see pending, must be a glitch! Now have to untangle the mess Paypal caused. I HATE using Paypal but due to their success everyone uses them. Once day I hope a new, slicker competitor will emerge. Paypal I hate you with a passion. You just take as much as you can and make resolving issues an absolute nightmare! Just been on hold 20 mins and the call just ended... Great!",1,2023-09-04T12:54:36.000Z,anthony
Go to be the worse company,Go to be the worse company. Before you buy with pay pal just remember you have no come back.they just turn there backs on there customers,1,2023-09-14T12:43:13.000Z,Graham
Good customer support and helped answer…,Good customer support and helped answer a lot of questions. Their service is always easy to use,5,2023-09-15T09:04:45.000Z,Lucious B
After nearly crippling me and my small…,"After nearly crippling me and my small company, I've decided to remove the option to pay by PayPal. How can I personally pay for £1000's of products if PayPal keep the buyers cash for 21 days??? Useless now.",1,2023-09-01T20:30:23.000Z,Brett
Absolutely fantastic communication,"Absolutely fantastic communication from their customer services team in the UK. Can't fault them, clear instructions and even walk you through the business set-up process on the phone and expedite from their end",5,2023-09-08T13:13:31.000Z,BFC
Really bad.,"Really bad.I have an account that is over ten years old with them.  I no longer use the same phone and I no longer use the same bank.Obviously I cannot access this account to close it yet they offer no other form of contact but a number where you have have to pay to contact them and there is no offer of call back.Of course I'm not going to use my own money to end a service that I will never use.So I'm stuck with this account I cannot open or close which insists on sending me emails and links that I can never open.No solution is offered.So, like the internet scammer that I think it is, I have permanently blocked paypal as spam.",1,2023-09-02T10:08:02.000Z,National Treasure
Ive been with paypal for several years,"Ive been with paypal for several years. Never filed a claim for a Scam, until the other day for under 100$. They did Nothing to help. Plus they over charge for Everything. F*** u paypal",1,2023-09-08T12:52:13.000Z,Fu
They do business with people that steel.,"They do business with people from ChinaI bought 3 bras size 42 and they send size 31, when I complained with them, they did not answer. I called Pay-pal and then that company told me to send more money so they can send the right size. When I complain to Pay-pal they said that to have the money back I have to pay sending the package in China. I will not spend any more money on these junks. I see now Pay-pal is corrupt too. I won't trust them anymore.",1,2023-09-07T23:05:16.000Z,ROSA
Legit scammers,Trully i dont know whats wrong with paypal these days. If you are african just get away from this service. They dont have a support email which seems to be kinda fishy.,1,2023-09-14T07:12:55.000Z,Eunice Wothaya
Avoid if you're a dev or company looking for a payment processor integration,"For a regular consumer like me, PayPal is just okay, but if you're a developer aiming to utilize their API for payment integration, PayPal is downright terrible. PayPal for developers is troublesome for several reasons:- Their documentation is subpar. Not because it's poorly written, but due to its confusing navigation. Finding the necessary information is a real challenge, and it's hard to make sense of it. Additionally, they often omit details about certain restricted APIs.- PayPal's support is equally frustrating. Their response times are excruciatingly slow. The typical workflow goes like this: You describe your issue, then wait for a day. The next day, when their response finally arrives, you reply, and the cycle continues with another day of waiting. Furthermore, their staff can be quite inept. They may offer incorrect advice initially, only for another staff member to correct it days later. It's simply absurd.I strongly advise against using PayPal. If you require payment support, opt for Stripe instead. It is light years ahead in terms of quality and developer-friendliness.",1,2023-09-02T12:12:27.000Z,Nicolas Dao
Zelle Is Far Superior To PayPal,"Zelle transfers take seconds with no transaction fees. After paying PayPsl almost $25 in fees, why am I still waiting after three days and counting, as of today? NEVER AGAIN!",1,2023-09-02T11:43:24.000Z,Eugene Roy
PayPal dreadful company,"PayPal has gone from a responsible intermediary with payments to an organisation that no longer cares! The automated switchboard is terrible, assuming you are ringing on certain phrases! It does not provide with a queue numbering or length of time for answering either! Resolutions for non-delivery are no longer easily reported, once this last transaction has been dealt with I will be closing my account as I see no point in using such dreadful service fir either purchasing or transferring monies when so many others exist! Goodbye Paypal",1,2023-08-28T12:18:07.000Z,Keith Walters
I hate Paypal,I hate PaypalThere is zero support!!I can't believe they are still operating!!!F them!,1,2023-09-12T22:45:40.000Z,New Jersey Massage
DO NOT USE PP! NOT SAFE FOR CONSUMERS!,"DO NOT USE PAYPAL!!!! Unprofessional, Lackluster, Incompetent, Zero Integrity. I was scammed by an online merchant who required payments via PayPal only. Merchant got their money and never sent merchandise. Merchant does not respond to emails, gave a bogus phone number and blocked me from messaging them on PayPal. I attempted to seek resolution and a refund from PayPal, but after opening a Resolution Case, they sided with scammers and criminals, not the consumer, and CLOSED the Case the same day (within an hour or two tops! ZERO Investigation into the fraud or scammers)They make money off of transaction fees on payments initiated by scammers and con artists. PayPal is LITERALLY a huge part of the problem of international fraud and scams and they make money off it! Repulsive and repugnant business practices. Must be a top down kinda thing! I have been attempting to close my account several times and they claim there is an Open Case to be resolved. They CLOSED the Case the same day (within two hours of opening case with zero investigation) and basically told me to get lost and that they aren't going to assist me with a refund. I have been messaging customer service and get nowhere with them. Just another corrupt American Company just after more money for themselves at the expense of the customers/consumers! If the people running this S#!T SHOW of a company had any integrity and conscience, they would be ashamed of themselves, and be embarrassed about how the company is managed and how it treats its customers and consumers, but they don't, so they don't. Typical Greedy and Corrupt American Trash.",1,2023-09-11T13:05:21.000Z,ASC
New levels of terrible customer service,"PayPal continue to ignore the reality of how impossible it is to return 4 four-metre long skirting boards ( that's four metres per skirting board) no matter how much proof I said them of delivery companies saying they can't accept items of that size.They even said, that it's the seller's responsibility to cover the costs of the return, and as they're Wickes, they have access to business only delivery services that can handle items this size, because they used such a service to deliver them. Even though they know all this to be true, they still ask me to deliver them anyway, and have done in hundreds of messages and emails over several week as I've argued the insanity of what they're asking.To top it off, all the formal complaints I've made about their customer service get replies with email I can't reply to because they don't allow replies, yet those same emails ask me to reply to the emails. Meaning they've created a situation when my complaints won't be dealt with because I have no way of replying to their complaints team emails.PayPal have gone above and beyond to be the absolute worst customer service I've ever had to deal with. The sheer incompetence of their customer service and their scammy ways of avoiding scrutiny means I wouldn't recommend this company to anyone.Try Google Pay and VibePay instead",1,2023-09-09T00:17:30.000Z,marcus gordon
I contacted PayPal on the 9th…,I contacted PayPal on the 9th concerning fraudulent tracking number to dispute payment was told I would have to wait till the 17th before they would even escalate to a dispute and then have to wait an additional 7-10 days for resolution I provided PayPal with documentation showing an invalid fake tracking number Their response was that agreement has changed and that this was the new time frame that they work onPayPal no longer puts purchaser protection as a priority shame on PayPal they have constantly gone down hill on consumer protection,1,2023-09-09T23:50:02.000Z,John Occhipinti
Reduced my PayPal credit from £2000 to…,"Reduced my PayPal credit from £2000 to £500 because I wasn't using it enough. Said they were in line with guidelines. This has never happened with any other credit agency I've used ever in my 20+ years of using credit, regardless of how often I use the credit.They were also incredibly unsympathetic  and overly demanding when I was in financial difficulty after COVID  and demanded I make minimum payments outside of my means in order to keep my credit from going in to the red. No one in the Irish call centre had a shred of empathy and were, again, 'following guidelines'. Unfortunately for us human beings, their 'guidelines' contain approximately zero humanity.I wish genuine pain and suffering for the people who create these guidelines within PayPal and even more so to the top executives. I believe their lack of humanity may come from their obvious reptilian heritage.",1,2023-09-01T14:03:57.000Z,Ersan
I first book one ticket from kiwi and…,I first book one ticket from kiwi and payment deducted from my bank account but booking was declined by kiwi then they refunded the money to my account.. Then I booked once again and it was confirmed from kiwi side and after some time i saw booking was cancelled again by kiwi but when i called kiwi customer they told I did it voluntary which is not true. I asked for refund but they don't reply and they are not giving..Then i book another flight with kiwi and travelled. So now I need my money back which I paid for 2 nd time and kiwi cancelled.. I file chargeback.. So I need my money...kiwi.com nummer booking 410094542,1,2023-08-31T16:25:05.000Z,ramiz a
Absolutely Awful Customer Service,"Absolutely Awful. My bank that I have been using on PayPal for over 10 years suddenly stopped working, and I had to call PayPal to figure out what was wrong and resolve it because I was unable to fix it by resetting the connection to the bank myself. They told me it had become ""unverified"" and had to be verified by them with me calling in. They could not explain to me why it became unverified suddenly, and could not answer if it would happen again. They just kept dodging questions and talking in circles and it drove me NUTS. Just wasted my time and acted like I was crazy for being upset. I asked to talk to a manager and GOT HUNG UP ON.So, I decided to close my account. This is how I learned basically all of their customer support is incompetent, and it wasn't just bad luck before. I could not close my own account because for whatever reason, I had a -0.01 USD balance and +0.01 AUD balance, and despite showing a 0.00 overall balance, this odd discrepancy was preventing my account from being closed.  I tried to transfer the AUD to USD, but it failed and just said it can't be done right now.I was told by Customer Service that they couldn't fix the issue, and transferred me to Collections, and I was transferred back and forth like this for over an hour with NO HELP WHATSOEVER. They just kept saying it was the other teams problem. I finally landed someone competent from Customer Service who was able to close my account, but by this point I can't recommend PayPal to ANYONE. Awful, unorganized, uncommunicative customer support who just try to get you off the phone any way that they can because they don't actually know how to do anything. They will make stuff up like ""oh our system probably needs to update, give it a few days and try again!"" For an issue that had existed for over a year. They will try anything to get you off the phone so that the next agent will have to try fixing it instead of them.This whole awful experience was over several different days and SEVERAL HOURS of being treated like crap by many different incompetent support people.",1,2023-09-13T23:06:28.000Z,Dolly Latte
They are absolutely soulless terrible…,They are absolutely soulless terrible people. They lied about my account status and are withholding my money without a care in the world.,1,2023-09-05T16:10:01.000Z,Breana Arakawa
The worst customer service ever,"The worst customer service ever. They make it so difficult to resolve your issues and as for the chat feature, it sticks! Time to move on.",1,2023-09-06T20:59:27.000Z,Preston Wade
We can't be trust in PayPal.,"Wow! Wow! PayPal doesn't have a good review, I've never been here. I didn't know that, We can't be trust in PayPal. I bought a head training mannequin on Ebay and on the head it said that it was 100% but it was not true, When the bleaching, blowing and curling Iron practices begin, the hair melts away, I sent pictures through Ebay, to the seller but they ignored me (by the way, this seller continues using  the same headline 100% hair).Moved on Paypal because I know we have 6 months to recover our money, when I opened the case in paypal an agent called me so I asked if I would have to call again or track the case that agent told me no, he lied to me, now to my surprise, Paypal said that case was closed, in favor of the seller also the polity says that the case will not be reopened.However, Paypal did not ask me for further information or any type of proof of, what I was saying, because I have pictures of the melted hair. Paypal told me that I have to call my bank so that the bank gives me the money back, That is very bad customer service, the millions that PayPal make through us customers, they do not care about us.I told Paypal for that I don't need to make the payment through them, I thought I could not trust Paypal. so I see that there are many rip off out there. Be careful.Paypal has very bad records, only 1 and a half stars, that is far from being a good company for customer service.I hope my example helping more people, and do not make the same mistake like me.",1,2023-09-09T17:01:17.000Z,customer
Good and famous bank,Good and famous bankBut we waiting when PayPal comes in Pakistan 🙃,5,2023-09-19T22:45:57.000Z,Amish Ali
"Unethical, perhaps illegal practices","On August 7, 2023, I signed up for a 30-day FREE TRIAL - My PayPal account was charged $1.00 and I used the service once - I had NO INTENTION of subscribing to the service, but PayPal took it upon itself to invoice me. When I called PayPal to explain, they suggested I open a case, I did - and then they have the audacity to in initiate an UNAUTHORIZED transfer - funds which I did NOT have in my PP account, to my checking account, putting me into OVERDRAFT. I tried to call Vimeo@ 646-470-8422 - I don't know if this is a fax number, but NOBODY ever answers, and this IS the number that PayPal gave me to call to speak to you directly. So, let's recap:A)I took the misguided action of asking for a 30-day FREE TRIAL with Vimeo and charged $1.00 by PayPal. B) PayPal draws up an invoice and is haranguing me for $261.00 for what was to be a FREE trial on September 1 - a week to go on my alleged FREE trial has yet to end. C) PayPal takes funds that were NOT in my account and they initiate a transfer for $236.84 - totally and completely unauthorized - to my checking account and putting me in NEGATIVE territory.  I have opened a FRAUD case with my bank for this daring of PayPal to take this initiative - and, by the way, VIMEO, whatever became of this alleged FREE 30-day trial?  Spend some shekels and have somebody I in your office answering the phone.  A despicable company that I really should sue!NB- Trustpilot, you have my blessing to contact PayPal. Let's see how they defend this egregious behavior",1,2023-09-06T05:47:41.000Z,Jonathan Yodice
If the seller cheats on you and sends…,"If the seller cheats on you and sends you a damaged item, everything is fine for paypal and don't count on any help from them. I'd be happy to take commission on everything! Bunch of hypocrites!",1,2023-09-07T11:13:23.000Z,Sylwek D
I was talking to Valerie a customer…,"I was talking to Valerie a customer service woman and she was really rude to me, yelling for no reason.All I'm trying to do was resolve somethingShe was not very helpful.Thanks for nothing.You guys really need to fix this.",1,2023-08-29T15:32:29.000Z,Curtis Lieber
Scamming PayPal,Wow PayPal supposedly is the safest way to pay for an item truly False false I ordered a electric scooter 4 months ago and I still have not received my money back do not use it total Scam  wow get your act together Trix are for kids,1,2023-08-29T07:04:24.000Z,Ralph Soto
PayPal are an absolute shambles.,PayPal are an absolute shambles.Is it Al tech who deal with youI will cancel my PayPal account as they are completely waste of time.,1,2023-09-04T20:36:26.000Z,Mr x
worst payment processor ever,"worst payment processor ever. worst acceptance policy, worst security. i'd give it 0 if I could",1,2023-09-08T16:52:41.000Z,Radu
Unjustified withholding of MY MONEY by PayPal,"A large amount of a payment made to me, from an item that I sold to a friend, was put on hold by PayPal. For no reason, other than some idiotic policy that PayPal has put in place, I can only receive a total of $300.00 a month, of MY MONEY! This means that MY MONEY is being held hostage by PayPal, so that PayPal can draw interest in their bank account! I messaged PayPal twice, trying to resolve the issue, but got no response. The next day, I called PayPal, and was shocked to find that my call was being taken by AI (Artificial Idiot)! After almost screaming at this Robot, that I wanted to speak to a Human, it finally asked if I would like to speak to a representative! Yes...I screamed! After holding for a bit, another Robot answered the phone! This Robot finally asked if I would like for a representative to call me back within 30-45 minutes. Finally I get a call back from another Robot, that asked me to state my name. Back on hold I go! After a bit, an actual person came on line, and could only recite to me, what was listed in the PayPal general articles. I said that if she could not actually help me, I wanted to speak to a supervisor. After a while, a supervisor came on line, with an accent that very difficult for me to understand. I asked where she was located, and she said ""offshore"". After listening to her ramble on for a bit, reciting the same old PayPal articles, I said ""this is enough""! ""Can you help me resolve this insane issue""? She offered no solution, and was not interested in helping. She was not interested in my frustration, or dissatisfaction in PayPal. At this point, I can only hope that PayPal will not steal MY MONEY, and that I will someday get it! As soon as I do, I will close all ties with PayPal, and recommend that nobody ever uses their services!! I do not trust them any more!!!! Beware!!!!",1,2023-09-09T19:06:12.000Z,David Elliott
PayPal scam,Pls I need help PayPal banned my account without any reasons and I have over $12k in my PayPal account that wanted to use to pay my school fees I can’t survive without getting my money back because I can’t wait 6 months before I can get my money pls help,1,2023-09-03T20:13:27.000Z,Koke
I got banned for life for nothing,I got permanently banned for life because I joined a debt consolidation company. Can never use it again. It's ridiculous.,1,2023-09-01T21:18:06.000Z,Pete
I loathe to give a one star,"I loathe to give a one star.  Purchased two items from House of Fraser via Pay in Three.  Received the two items, returned the two items, took a picture of the return invoice, asked for the Evri return receipt and dropped at the local Evri drop point.  I went off on holidays for a couple of weeks, got back and contact Paypal about the refund.  Only refunded 1/3 of payment.  Why?  They said they'd investigate.  Came pack with reply you've been refunded.  To cut to the chase I have spent the last 6 weeks sending over 20 messages via the stupid APP (they don't want you to have a record), uploaded over 15 documents, made four antagonising phone calls to a different customer service rep everytime who does little to review the case and never once do they responded to the question I ask of them.  You've received the refund and failed to provide us with information is all I get.  So I get onto HoF.  Well at least they responded adequately and sent me pictures.  Yes, the package did arrive back but I can see the jumper, the most expensive item worth £200 has been removed and the package re-taped.  So in fairness, HoF have received the package with a missing item.  Now I thought my good friends at Paypal would cover something like this but no.  You would think that a looking through my history, I've been with them for 20 years with a clean slate.  Nope!  So today, I reluctantly paid the final instalmant (three weeks before it is due) for items I returned.  I've removed all my cards and tried to close my Paypal account.  It won't close.  So I message then again, and ask kindly how I do this.  Guess what.  I receive a reply about how they tried to reopen the case and they hope I understand as a valued customer, blah blah but no information on how to close by account.  Seriously, there is nothing you can do about these fraudulent companies other than write a review.  STAY AWAY FROM PAYPAL.  STAY AWAY FROM EVRI (that will be in my next review)",1,2023-09-08T17:02:10.000Z,vicki wood
STRANDED IN A FOREIGN COUNTRY DUE TO…,STRANDED IN A FOREIGN COUNTRY DUE TO PAYPAL RANDOMLY LIMITING MY ACCOUNT.....A JOKE?,1,2023-09-12T13:00:29.000Z,SV
They cheating,They cheating. Support is very poor. Be careful I never seen worst company in my life. Will never use again,1,2023-09-07T22:24:38.000Z,Grabarz
I don’t even know why I’m bothering to…,"I don’t even know why I’m bothering to write a review on here, because PayPal won’t see it or bother replying back to me . I have just used PayPal’s 3 payment option to pay for an urgent head scan. They have taken the first payment from my bank account, but the scan company haven’t receive my payment yet. So they can’t hold my appointment for me, until a payment has been received. Which means the appointment will be offered to someone else instead. And I’ll have to wait longer for my head scan. Paypal is saying it can take a few days for the 3 payment plan to be approved. So why take money from my bank account if you haven’t even approved my payment plan yet?I can’t book another scan until I get my money back. I’m so angry.It’s saying on paypals website that I can’t cancel the payment plan.   So how am I meant to get my money back?My bank said they can’t cancel the payment either.     It’s an absolute joke.   That they’ve got my money and I can’t get it back.",1,2023-08-28T10:07:25.000Z,Mrs Donna Mills
There is no such thing as customer…,There is no such thing as customer service. I will close my account permanently will never do business again.,1,2023-08-29T07:01:53.000Z,Sana
Abusive,"I've been PayPal user for so long... Unfortunately, it is becoming more and more abusive. It's been a week now and I haven't received the the money I transferred from my PayPal account to my Bank account. There is no reason PayPal is blocking my moneyI will withdraw all my money will stop using PayPal. The worst part is they are lying, when I first called, they said it was my bank, the money was transferred but my bank hasn't updated their system. The next day, another person from customer service said is shouldn't worry they will make the transfer within the next 2 days. I am not worried, I just want my money to be in my account asap.I keep on calling and the waiting times are 40 min to 1 h. Today I message them they say up 7 days wait for transfer. I called to complain again and the last person I spoke said because of new regulations, there is up to 10 days wait. When I asked why this new regulations wasn't communicated with me... he said it was, but I never received any notification about change of rules and transfers wait time up to 10 days. Instead, with each transfer confirmation e mail I receive this message: ""It could take 1-2 business days for the money to appear in your bank account, depending on your bank. If it takes longer, please contact your bank.""Such an abusive behaviour.",1,2023-08-29T17:31:24.000Z,Aleksandra Stevanoska
Customer support is really good,Customer support is really good. Well the business support side.,5,2023-09-15T12:43:31.000Z,Thomas S
High fees but it does the job,High fees but it does the job. sometimes is the only way to pay on shady sites where you cant insert your card,4,2023-09-15T13:32:15.000Z,temin cali
Pay pal eats donkey feet,"I apologize.  My last review was not nearing app. i have now been bullied by some little paypal twit named Jill.  They have not answered my question, i have been on hold for 38 to 52 mi utes 3 times..3 times..ti~day!  Not jyst the time wasted yday but to~day..and i still cannot get to MY MONEY.  They say i have gad my password roo long so i cannot get i to my acct for 24~48 hours and their supervisor is bust.  You know ...I..would love to busy on my day off also.  I am waiting on super to call me back now.  Paypay..you Bute.  You..count it again..you have  1. Not answered my question 2. Locked Mt from MY mo ey 3. Have had me on hold all morning g 4. are keeping me from getting gas to make a 45 mile trip to pick up my son 4.  Have infuriated me to the point that I  will herk my cash from. Your business as fast as I can get to it and I will never make this mistake again.  Paypal you need to reevaluate  your system, your employees and your policies  concerning passwords.  As far as I can tell you have withheld funds that do not belong to you..fbut unds intrusted to your establishment  for safe and convenient keeping  for me.  You have not listened,  have gotten my complaint and need wrong 7x and 4 hours of my time and I still am standing here devoting more if my sunday to you.  I am done.  I want a super. I want Jill Mike and the other one to all be written up, their super written. Up and a a sincere or mistaken for sincere apology or i will be with better business tomorrow.   You need a leash! Laura McCool",1,2023-09-10T21:40:22.000Z,Laura McCool
Check out my profile picture name for help now!,-,1,2023-09-18T16:28:58.000Z,Olive sam
very bad,"very bad , the restricted my account for no reason .",1,2023-09-14T04:52:51.000Z,Mouawia Lahcini
After years with Paypal,"After years with Paypal, I had a problem where a company billed me A$170.00 to stop ads as my yearly cost. I have only ever used free stop ads.There was no warning of a renewal. Just taken out of Paypal.I tried to contact them, but I was not able to talk to anyone. In the end, I lost $170.",1,2023-08-31T09:12:08.000Z,zuzu burford
The worst app ever.,The worst app ever.Upgrade your app as soon as possible,1,2023-09-21T12:46:45.000Z,Simple guitar Secrets
Call centre helped me.,Call centre helped me.I was pleased with the help that I received from the Paypal call centre when I called from Australia.,4,2023-09-13T11:38:34.000Z,Edward B
Paypal Fiasco Chronicle 2023,"Updated Review 2 :Paypal has finally come to its senses and reinstated my account. However, this issue has taken a toll on my business, since I used my Stripe payouts to pay customers when Paypal funds were on hold, and even before I only used Paypal to pay for Facebook ads, because Paypal wouldn't allow me to link a bank account. Once I try to do so, and click on ""link bank"" it forwards me to the main dashboard. I've reported this issue over a month ago, and they said it's a regional problem and they'll fix it soon from their end. However, it must be an intentional thing, because an american friend of mine has shown me that he's able to do so. Paypal also isn't allowing me to add a US debit card, because they limit the billing addresses you add to the country you opened your Paypal from.--------------------------------------------------------------------------------------------------------------------------Updated Review 1 : Reference ID: PP-L-426159964349After making several attempts to contact all the channels I have access to, be it through email or calling customer support.I received an email on Mon, Sep 11, 2023 at 6:26 PM from Paypal informing me that they restored some features, and that they'll proceed with restoring my full account after I provide some documents.As I was uploading the documents and explaining my business, I received another email about an hour later, telling me that the 180 day hold is back again, and my account is fully deactivated, which is very disappointing considering that I've done everything I can to abide by the Paypal policy.I'm still on my word, that I'll do everything I can, and take all the necessary measures to retrieve what's rightfully owned. As I believe this is a matter of discrimination, because I belong to a country (Morocco) with a ""high risk"" in Paypal's views.--------------------------------------------------------------------------------------------------------------------------Original Review :Reference ID: PP-L-426159964349Paypal unlawfully put a 180 day hold on the money I rightfully earned. I have a legitimate business model in place. I ship to customers in less than 2 days, and I upload the tracking number in less than 24 hours. I only have one single dispute where a client bought and cancelled on the same day claiming that they didn't receive their order. However, Paypal still put the infamous 180 day hold on my account and ignore all my attemps to contact customer support and their higher ups.I'm only urging Paypal to do the right thing and review my case, as I truly believe, that I've done everything by the book, and that my account is flawless as far as policy compliance is concerned.In the event that Paypal reviews my case, I will update this review accordingly no matter the outcome.However, if that's not the case, I will leave no stone unturned, and i'll take all the legal channels to get my rightfully owned money.",3,2023-09-20T07:37:12.000Z,Youssef
